id,station_id,target_line_id,order,color_override,hidden
TR-117,T2-S04,L6,1,,
TR-118,T2-S04,L7,2,,
TR-119,T2-S05,L6,1,,
TR-120,T2-S06,L2,1,,
TR-121,T3-S02,L7,1,,
TR-122,T3-S02,L9,2,,
TR-123,T3-S04,L7,1,,
TR-124,T3-S05,L7,1,,
TR-125,T4-S02,L1,1,,
TR-126,T4-S02,L10,2,,
TR-127,T4-S03,L1,1,,
TR-128,T4-S03,L8,2,,
TR-129,T4-S03,L10,3,,
TR-130,T4-S06,L6,1,,
TR-131,T4-S06,L8,2,,
TR-132,T4-S07,L8,1,,
TR-133,T4-S08,L1,1,,
TR-134,T5-S01,L7,1,,
TR-135,T5-S02,L6,1,,
TR-136,T5-S03,L2,1,,
TR-137,T5-S03,L4,2,,
TR-138,T5-S03,L10,3,,
TR-139,L2-S08,L6,1,,
TR-140,L2-S07,L10,2,,
TR-141,L3-S03,L5,3,,
TR-142,T2-S03,L10,2,,
TR-1785771889644-L9,L5-S02,L9,1,,
TR-1785772010661-L2,L10-S1785772003581,L2,1,,
TR-1785772012001-T2,L10-S1785772003581,T2,2,,
TR-1785772219623-T4,L1-S1785772211243,T4,1,,
TR-1785772220170-L10,L1-S1785772211243,L10,2,,
TR-1785772256413-L1,L10-S01,L1,2,,
TR-1785772284571-L2,L6-S1785772277538,L2,1,,
TR-1785772339587-L3,L5-S1785772333093,L3,1,,
TR-1785772351783-L6,L5-S1785772333093,L6,2,,
TR-1785772352604-L10,L5-S1785772333093,L10,3,,
TR-1785772651065-L5,L10-S05,L5,3,,
TR-1785806605546-L5,L6-S05,L5,3,,
